
C|C

Iuli Caesaris Commentariorum De Bello Civili, Liber Secundus Dum haec in Hispania geruntur, C|Julius Caesar's Commentaries on the Civil War, Book Two While these things were going on in Spain, C

Trebonius legatus, qui ad oppugnationem Massiliae relictus erat, duabus ex partibus aggerem, vineas turresque ad oppidum agere instituit|Trebonius, the legate, who had been left to attack Marseilles, set up a rampart, vineyards, and towers on two sides to approach the town

una erat proxima portu navalibusque, altera ad portam, qua est aditus ex Gallia atque Hispania, ad id mare, quod adiacet ad ostium Rhodani|one was near the harbor and dockyards, the other at the gate by which there is access from Gaul and Spain to that sea which is adjacent to the mouth of the Rhone

Massilia enim fere tribus ex oppidi partibus mari alluitur; reliqua quarta est, quae aditum habeat ab terra|For Marseilles is watered by the sea on nearly three sides of the town; the remaining quarter is that which has access from the ground

huius quoque spatii pars ea quae ad arcem pertinet, loci natura et valle altissima munita longam et difficilem habet oppugnationem|and that part of this space which belongs to the citadel, being fortified by the nature of the place and the deep valley, has a long and difficult assault

ad ea perficienda opera C|to complete the works C

Trebonius magnam iumentorum atque hominum multitudinem ex omni provincia vocat, vimina materiamque comportari iubet|Trebonius summons a great multitude of cattle and men from every province, and orders them to be brought with them

quibus conparatis rebus aggerem in altitudinem pedum lxxx exstruit|with which things he prepared, he built a mound to the height of 630 feet

Sed tanti erant antiquitus in oppido omnium rerum ad bellum apparatus tantaque multitudo tormentorum, ut eorum vim nullae contextae viminibus vineae sustinere possent|But in ancient times there were in the town so many things prepared for war, and such a multitude of artillery, that no vines woven with vines could withstand their force.

asseres enim pedum xii cuspidibus praefixi atque hi maximis balistis missi per quattuor ordines cratium in terram defigebantur|for the assers were pierced with 11-foot spikes, and these were fixed to the ground with the largest crossbows sent through four rows of bars

itaque pedalibus lignis coniunctis inter se porticus integebantur, atque hac agger inter manus proferebatur|therefore the galleries were covered with wooden pedals joined to each other, and with this the rampart was brought forward between the hands

antecedebat testudo pedum lx aequandi loci causa facta item ex fortissimis lignis, convoluta omnibus rebus, quibus ignis iactus et lapides defendi possent|in front of it was a shell of 100 feet, for the purpose of leveling the place, made also of the strongest wood, wrapped in all things with which fire and stones could be defended

sed magnitudo operum, altitudo muri atque turrium, multitudo tormentorum omnem administrationem tardabat|but the greatness of the works, the height of the wall and the towers, and the multitude of the cannon, retarded all administration

crebrae etiam per Albicos eruptiones fiebant ex oppido, ignesque aggeri et turribus inferebantur|frequent eruptions were also made by the whites from the town, and fires were brought to the ramparts and towers

quae facile nostri milites repellebant magnisque ultro inlatis detrimentis eos, qui eruptionem fecerant, in oppidum reiciebant|which our soldiers easily repulsed, and with great loss inflicted upon them, drove back into the town those who had made the outbreak

Interim L|Meanwhile L

Nasidius ab Cn|Nasidius from Cn

Pompeio cum classe navium ivx, in quibus paucae erant aeratae, L|Pompey with a fleet of 49 ships, of which few were damaged, L

Domitio Massiliensibusque subsidio missus freto Siciliae imprudente atque inopinante Curione pervehitur adpulsisque Messanam navibus atque inde propter repentinum terrorem principum ac senatus fuga facta ex navalibus eorum navem deducit|Domitius, having been sent to the aid of the Massilians, unwittingly and unexpectedly crossed the coast of Sicily to Curio, and attacked Messana with his ships;

hac adiuncta ad reliquas naves cursum Massiliam versus perficit praemissaque clam navicula Domitium Massiliensisque de suo adventu certiores facit eosque magnopere hortatur, ut rursus cum Bruti classe additis suis auxiliis confligant|having joined the rest of the ships, he completes his course towards Marseilles, and secretly informs the ships of Domitius of Marseilles of his arrival, and strongly urges them to engage again with the fleet of Brutus, with the addition of their auxiliaries.

Massilienses post superius incommodum veteres ad eundem numerum ex navalibus productas navis refecerant summaque industria armaverant—remigum, gubernatorum magna copia subpetebat— piscatoriasque adiecerant atque contexerant, ut essent ab ictu telorum remiges tuti; has sagittariis tormentisque conpleverunt|After the above inconvenience, the old men of Marseilles had repaired to the same number of ships produced from the shipyards, and had armed them with the utmost diligence—a great number of sailors and pilots were in demand—and they had added fishing nets and built them together, so that the crews would be protected from the blows of the guns; they completed these with archers and artillery

tali modo instructa classe omnium seniorum, matrum familiae, virginum precibus et fletu excitati, extremo tempore civitati subvenirent, non minore animo ac fiducia quam ante dimicaverant, naves conscendunt|In this manner the fleet of all the elders, the mothers of the families, and the mothers of the families, roused by the prayers and cries of the virgins, were to come to the aid of the state at the last moment, with no less courage and confidence than they had fought before, and embarked on ships.

communi enim fit vitio naturae, ut invisitatis atque incognitis rebus magis confidamus vehementiusque exterreamur; ut tum accidit|for it is a common vice of nature, that we trust more and are more afraid of things unseen and unknown; as it happened then

adventus enim L|for the arrival of L

